Species,No.,Year,Month,Province,County,District,Longitude,Latitude,Type of conflict (standard),Victem,Number of victems,Number of deaths,URL
Asiatic Black Bear,ABB082,2019,10,云南省,永胜县,丽江市永胜县鲁地拉镇闷龙河村委会阿拉坪小组,100.81677,26.200861,Attack human,Human,2,,http://m.chuxiong.com/wap/thread/view-thread/tid/59311
Asiatic Black Bear,ABB083,2020,9,黑龙江省,方正县,哈尔滨市方正县方正林业局新凤林场,128.846889,45.901778,Attack human,Human,1,,https://www.163.com/dy/article/FNIAJHMV0534C72H.html
Asiatic Black Bear,ABB084,2020,8,湖北省,神农架林区,神农架林区官门山风景区,110.478858,31.400723,Damage beehive,,,,http://hb.people.com.cn/n2/2020/0806/c194063-34209650.html
Asiatic Black Bear,ABB085,2020,7,四川省,平武县,绵阳市江油市平武县木皮乡藏族乡关坝村,104.74855,31.95425,Damage beehive,,,,http://sc.sina.com.cn/news/m/2020-07-31/detail-iivhvpwx8331684.shtml
Asiatic Black Bear,ABB086,2020,5,四川省,江油市,绵阳市江油市马角镇沉水村,105.07855,32.084861,Attack human,Human,3,3,https://baijiahao.baidu.com/s?id=1667031255074628934&wfr=spider&for=pc
Asiatic Black Bear,ABB087,2020,12,四川省,米易县,攀枝花市米易县白坡彝族乡松坪村,101.86813,26.876028,Attack human,Human,1,,https://www.thepaper.cn/newsDetail_forward_10346541?commTag=true
Asiatic Black Bear,ABB088,2020,12,台湾省,泰安乡,苗栗县泰安乡麻必浩部落,120.964205,24.354562,Damage property,,,,https://e-info.org.tw/node/232144
Asiatic Black Bear,ABB089,2020,10,台湾省,和平区,台中县和平区东卯山,120.95787,24.185813,Damage property,,,,https://e-info.org.tw/node/232143
Asiatic Black Bear,ABB090,2020,4,云南省,大关县,昭通市大关县翠华镇,103.81963,27.964833,Attack human,Human,1,,https://baijiahao.baidu.com/s?id=1662847103736011323&wfr=spider&for=pc
Asiatic Black Bear,ABB091,2020,8,云南省,玉龙县,丽江市玉龙县巨甸镇德良村,99.598,27.306111,Attack human,Human,1,,https://www.thepaper.cn/newsDetail_forward_8737645?commTag=true
Asiatic Black Bear,ABB092,2020,10,云南省,维西县,香格里拉市迪庆州维西县,99.144278,27.41675,Attack human,Human,1,,https://www.sohu.com/a/430734092_252130
Asiatic Black Bear,ABB093,2021,5,贵州省,盘州市,六盘水盘州市亦资街道石家庄附近,104.46771,25.637619,Attack livestock,Goat,8,8,https://baijiahao.baidu.com/s?id=1700292855036000307&wfr=spider&for=pc
Asiatic Black Bear,ABB094,2021,8,湖南省,城步苗族自治县,南山国家公园金童山保护区,110.13833,26.169428,Damage beehive,,,,https://www.forestry.gov.cn/c/www/lcpd/30684.jhtml
Asiatic Black Bear,ABB095,2021,5,湖南省,石门县,常德石门壶瓶山云麓村,110.893822,30.076376,Damage beehive,,,,https://www.toutiao.com/article/6961227396456546823/
Asiatic Black Bear,ABB096,2021,12,江西省,婺源县,婺源县大鄣山乡,117.737473,29.450946,Attack human,Human,1,,https://baijiahao.baidu.com/s?id=1719007016156181444&wfr=spider&for=pc
Asiatic Black Bear,ABB097,2021,1,四川省,平武县,平武关坝流域自然保护区,104.561098,32.551216,Damage beehive,,,,https://baijiahao.baidu.com/s?id=1690467067126881582&wfr=spider&for=pc
Asiatic Black Bear,ABB098,2021,6,四川省,青川县,广元唐家河齐家坝,104.824619,32.507337,Damage beehive,,,,https://k.sina.com.cn/article_6105713761_16bedcc6102000xpcs.html
Asiatic Black Bear,ABB099,2021,8,四川省,绵竹市,德阳绵竹市汉旺镇花石沟村,104.118279,31.490083,Damage beehive,,,,https://www.163.com/dy/article/GI5LE1KO05149N3E.html
Asiatic Black Bear,ABB100,2021,10,台湾省,富里乡,花莲县富里乡永丰村,121.279916,23.171403,Damage crops,,,,https://pets.ettoday.net/news/2110758
Asiatic Black Bear,ABB101,2021,3,云南省,大关县,昭通市大关县木杆镇漂坝秦家,104.022042,28.148719,Attack human,Human,1,,https://www.163.com/dy/article/G623PRFL0514TQ48.html
Asiatic Black Bear,ABB102,2022,9,黑龙江省,大箐山县,伊春市大箐山县朗香林业局正岔河林场,129.180746,46.749963,Attack human,Human,1,,https://m.gmw.cn/2022-09/29/content_1303158143.htm
Asiatic Black Bear,ABB103,2022,5,黑龙江省,饶河县,双鸭山市饶河县大顶子山,133.818397,46.894864,Attack human,Human,1,,http://henan.china.com.cn/m/2022-05/14/content_41970440.html
Asiatic Black Bear,ABB104,2022,10,黑龙江省,方正县,哈尔滨方正县高楞镇,129.25776,46.01051,Enter human settlements,,,,https://baijiahao.baidu.com/s?id=1746632779898237012&wfr=spider&for=pc
Asiatic Black Bear,ABB105,2022,8,黑龙江省,逊克县,逊克县翠宏山,128.952714,48.71492,Attack livestock,Goose+Duck,1+2,1+2,https://content-static.cctvnews.cctv.com/snow-book/index.html?item_id=9891067824747826141
Asiatic Black Bear,ABB106,2022,6,湖北省,神农架林区,神农架松柏镇盘水村,110.615339,31.756349,Damage beehive,,,,https://news.hbtv.com.cn/p/2209055.html
Asiatic Black Bear,ABB107,2022,6,吉林省,蛟河市,吉林市蛟河市前进乡三河村,127.761824,43.906862,Attack human,Human,1,,https://m.gmw.cn/2022-06/06/content_1302983468.htm
